alma;étel;Piros gyümölcs.
spagetti;étel;Hosszú, vékony tésztaféle.
húsleves;étel;Hagyományos vasárnapi leves.
répa;étel;Narancssárga zöldség.
banán;étel;Hosszúkás trópusi gyümölcs.
székelyképoszta;étel;Nevável ellentétben nem székely eredetű.
rántott hús;étel;Hagyományos vasárnapi étel.
labdarúgás;sport;Ebben a sportban nem lehet kézzel érinteni a játékszert.
röplabda;sport;Csapatsport, amelyet két, hat-hat főből álló, egymástól egy magas hálóval elválasztott csapat játszik egy labdával.
magasugrás;sport;Atlétikai versenyszám, az ugrószámok egyike.
kosárlabda;sport;Egy olyan labdajáték, amelyet két ötfős csapat játszik.
jégkorong;sport;Két csapat által, jégpályán, ütővel és koronggal játszott csapatjáték.
futás;sport;Szaladva haladás.
távolugrás;sport;Atlétikai versenyszám, az ugrószámok egyike. Célja, hogy nekifutásból elrugaszkodva a lehető legtávolabbra ugorjon.
kézilabda;sport;Olyan csapatsport ahol labdát csak kézzel szabad dobni, a kapus kivételével lábbal nem szabad hozzáérni.
bögre;tárgy;Porhár füllel.
asztal;tárgy;Többnyire négylábú, legtöbbször konyhai vagy ebédlői bútordarab.
ajtó;tárgy;Ki- és bejárásra szolgáló nyílás.
váza;tárgy;Felül nyitott edény
telefon;tárgy;Olyan eszköz amellyel vezetékes kapcsolódás nélkül lehetséges kommunikálni, és hordozható.
terítő;tárgy;Ruhaanyag, amivel az asztalt fedik le.
ceruza;tárgy;Grafit belsővel ellátott fa rúd.
tál;tárgy;Folyadék vagy étel tárolására, illetve ételek összekeverésére használt kerek edény.
kanál;tárgy;Nyeles merítőeszköz.
villa;tárgy;Nyeles evőeszköz.
tolltartó;tárgy;Írószerek tárolására alkalmas tárgy.
eszik;igék;Táplálkozik.
fut;igék;Szaladva halad.
játszik;igék;Szórakozik, vagy adott szabályok szerint a nyerés érdekében tevékenykedik.
beszél;igék;Gondolatokat élőszóban kifejez egy nyelven.
főz;igék;Vízben forralva elkészít, ételt puhít.
takarít;igék;Tisztává és rendessé tesz egy helyet.
sétál;igék;Lassan megy egy személy.
alszik;igék;Nem éber állapotban van lehunyt szemmel és fekvő testhelyzetben.
nyerít;Igék;Lovak hangadási módja.
unikornis;fikív élőlény;Egyszarvú ló
